Country Name,Country Code,year,Income_per_capita
Mauritania,MRT,2020,1647.919902
Mauritius,MUS,2020,8094.482298
Malawi,MWI,2020,556.8341617
Malaysia,MYS,2020,7321.928684
North America,NAC,2020,51933.4713
Namibia,NAM,2020,3334.701483
New Caledonia,NCL,2020,
Niger,NER,2020,532.6170935
Nigeria,NGA,2020,1697.976912
Nicaragua,NIC,2020,1628.193706
Netherlands,NLD,2020,41293.75737
Norway,NOR,2020,53949.8025
Nepal,NPL,2020,1084.742579
Nauru,NRU,2020,
New Zealand,NZL,2020,34536.81716
OECD members,OED,2020,31554.79628
Oman,OMN,2020,12038.70864
Other small states,OSS,2020,10097.55435
Pakistan,PAK,2020,1189.742041
Panama,PAN,2020,10890.46942
Peru,PER,2020,5281.024845
Philippines,PHL,2020,3130.213044
Palau,PLW,2020,
Papua New Guinea,PNG,2020,1990.525663
Poland,POL,2020,13333.54328
Pre-demographic dividend,PRE,2020,1084.367935
Puerto Rico,PRI,2020,
"Korea, Dem. People's Rep.",PRK,2020,
Portugal,PRT,2020,17471.06556
Paraguay,PRY,2020,4747.872284
West Bank and Gaza,PSE,2020,
Pacific island small states,PSS,2020,3330.464057
Post-demographic dividend,PST,2020,36739.52973
French Polynesia,PYF,2020,
Qatar,QAT,2020,38207.17645
Romania,ROU,2020,10801.98354
Russian Federation,RUS,2020,8080.555664
Rwanda,RWA,2020,633.3931554
South Asia,SAS,2020,1631.496939
Saudi Arabia,SAU,2020,18838.3821
Sudan,SDN,2020,485.285614
Senegal,SEN,2020,1267.66175
Singapore,SGP,2020,40860.48066
Solomon Islands,SLB,2020,1931.169079
Sierra Leone,SLE,2020,437.7147019
El Salvador,SLV,2020,3208.337881
San Marino,SMR,2020,
Somalia,SOM,2020,332.6728523
Serbia,SRB,2020,6351.269736
Sub-Saharan Africa (excluding high income),SSA,2020,1209.38573
South Sudan,SSD,2020,
Sub-Saharan Africa,SSF,2020,1210.186347
Small states,SST,2020,8914.853052
Sao Tome and Principe,STP,2020,1699.159547
Suriname,SUR,2020,3156.88893
Slovak Republic,SVK,2020,15875.11563
Slovenia,SVN,2020,20345.77611
Sweden,SWE,2020,45322.00707
Eswatini,SWZ,2020,2361.575698
Sint Maarten (Dutch part),SXM,2020,
Seychelles,SYC,2020,10722.81608
Syrian Arab Republic,SYR,2020,479.3055797
Turks and Caicos Islands,TCA,2020,17787.33535
Chad,TCD,2020,440.5267782
East Asia & Pacific (IDA & IBRD countries),TEA,2020,6118.486491
Europe & Central Asia (IDA & IBRD countries),TEC,2020,6867.026096
Togo,TGO,2020,786.0325298
Thailand,THA,2020,5441.477226
Tajikistan,TJK,2020,850.7943696
Turkmenistan,TKM,2020,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,5685.097638
Timor-Leste,TLS,2020,1201.193465
Middle East & North Africa (IDA & IBRD countries),TMN,2020,2564.933322
Tonga,TON,2020,4551.759289
South Asia (IDA & IBRD),TSA,2020,1631.496939
Sub-Saharan Africa (IDA & IBRD countries),TSS,2020,1210.186347
Trinidad and Tobago,TTO,2020,12394.72863
Tunisia,TUN,2020,2982.867852
Turkiye,TUR,2020,7197.801955
Tuvalu,TUV,2020,
Tanzania,TZA,2020,938.8400879
Uganda,UGA,2020,636.5044462
Ukraine,UKR,2020,3279.912598
Upper middle income,UMC,2020,6121.599655
Uruguay,URY,2020,13782.90335
United States,USA,2020,53872.1531
Uzbekistan,UZB,2020,1422.760022
St. Vincent and the Grenadines,VCT,2020,6985.740638
"Venezuela, RB",VEN,2020,
British Virgin Islands,VGB,2020,
Virgin Islands (U.S.),VIR,2020,
Viet Nam,VNM,2020,2898.327793
Vanuatu,VUT,2020,3045.286219
World,WLD,2020,8729.53471
Samoa,WSM,2020,3606.045317
Kosovo,XKX,2020,
"Yemen, Rep.",YEM,2020,
South Africa,ZAF,2020,4522.840013
Zambia,ZMB,2020,693.4253618
Zimbabwe,ZWE,2020,1171.848837
